moa,HEPG2_new_mean_dmso_mad_stratified_as_is,HEPG2_new_mean_dmso_mad_stratified_as_is,HEPG2_new_mean_dmso_mad_stratified_as_is,HEPG2_new_mean_dmso_mad_structure_as_is,HEPG2_new_mean_dmso_mad_structure_as_is,HEPG2_new_mean_dmso_mad_structure_as_is,HEPG2_new_median_dmso_mad_structure_as_is,HEPG2_new_median_dmso_mad_structure_as_is,HEPG2_new_median_dmso_mad_structure_as_is,HEPG2_new_mean_dmso_zscore_stratified_as_is,HEPG2_new_mean_dmso_zscore_stratified_as_is,HEPG2_new_mean_dmso_zscore_stratified_as_is,HEPG2_new_mean_dmso_zscore_structure_as_is,HEPG2_new_mean_dmso_zscore_structure_as_is,HEPG2_new_mean_dmso_zscore_structure_as_is,HEPG2_new_mean_standard_stratified_as_is,HEPG2_new_mean_standard_stratified_as_is,HEPG2_new_mean_standard_stratified_as_is,HEPG2_new_median_dmso_zscore_structure_as_is,HEPG2_new_median_dmso_zscore_structure_as_is,HEPG2_new_median_dmso_zscore_structure_as_is,HEPG2_new_median_dmso_mad_stratified_as_is,HEPG2_new_median_dmso_mad_stratified_as_is,HEPG2_new_median_dmso_mad_stratified_as_is,HEPG2_new_mean_standard_structure_as_is,HEPG2_new_mean_standard_structure_as_is,HEPG2_new_mean_standard_structure_as_is,HEPG2_new_median_standard_stratified_as_is,HEPG2_new_median_standard_stratified_as_is,HEPG2_new_median_standard_stratified_as_is,HEPG2_new_median_dmso_zscore_stratified_as_is,HEPG2_new_median_dmso_zscore_stratified_as_is,HEPG2_new_median_dmso_zscore_stratified_as_is,HEPG2_new_median_standard_structure_as_is,HEPG2_new_median_standard_structure_as_is,HEPG2_new_median_standard_structure_as_is
,precision,recall,f1,precision,recall,f1,precision,recall,f1,precision,recall,f1,precision,recall,f1,precision,recall,f1,precision,recall,f1,precision,recall,f1,precision,recall,f1,precision,recall,f1,precision,recall,f1,precision,recall,f1
AKT,0.0707692307692307,0.0666666666666666,0.0649350649350649,0.3238961038961039,0.2666666666666666,0.2749280131633073,0.3457142857142857,0.3333333333333333,0.3150349650349651,0.1944871794871794,0.1777777777777777,0.1803717850776674,0.3545454545454545,0.3333333333333333,0.3205882352941177,0.4764790764790764,0.4666666666666667,0.4677777777777777,0.1402597402597402,0.2,0.1628959276018099,0.2549376114081996,0.3111111111111111,0.2759244264507422,0.4607936507936508,0.5666666666666667,0.491002331002331,0.4093073593073593,0.4,0.3760292034433911,0.2980952380952381,0.3555555555555555,0.322044241037376,0.2583333333333333,0.3333333333333333,0.2885714285714286
AURORA KINASE,0.2225,0.2222222222222222,0.2198456468292309,0.378285374755963,0.3666666666666666,0.3679697613730597,0.4093040293040292,0.3666666666666667,0.3825518341307815,0.2489898989898989,0.2777777777777778,0.2560308972073678,0.4827751196172247,0.5166666666666667,0.488956121017832,0.3027450980392157,0.2444444444444444,0.2677056277056276,0.3482828282828282,0.3166666666666666,0.328151075977163,0.2443935149817502,0.2555555555555555,0.2486385836385836,0.4609163059163059,0.4,0.4246208863600167,0.2850417295123177,0.3444444444444444,0.3097648278554031,0.3122401656314699,0.3555555555555555,0.3301372523353772,0.4215007215007215,0.4,0.4076126771778945
CDK,0.2851082251082251,0.1555555555555555,0.1989577602542942,0.1909859490354846,0.1428571428571428,0.161998311286237,0.1774816849816849,0.1523809523809524,0.1623347107208031,0.2828514725728348,0.1629629629629629,0.2047742660786139,0.2076606400135811,0.1714285714285714,0.1835709523383046,0.3247953216374269,0.2222222222222222,0.2611397442109745,0.1635032679738562,0.1523809523809523,0.1569379031230903,0.2276449041154923,0.1259259259259259,0.1613229859571323,0.2547911338448422,0.2285714285714285,0.2396773102806479,0.2295370533356802,0.1777777777777777,0.1997117972527184,0.2903318903318903,0.1777777777777777,0.214875283446712,0.1824603174603174,0.1428571428571428,0.1598633798633798
EGFR,0.3488426573426574,0.3714285714285714,0.3567547798643038,0.4513357299735007,0.2888888888888888,0.3501032059727712,0.5061289587605377,0.3851851851851851,0.4371989591396225,0.4321070234113712,0.5047619047619046,0.4649948270433179,0.4834360410830999,0.3185185185185185,0.3828282828282828,0.3610498019241652,0.4285714285714285,0.3882905982905983,0.4435240274599542,0.3333333333333333,0.3802331174838113,0.4351030833789454,0.4571428571428571,0.4368131868131868,0.4497448165869219,0.3037037037037037,0.3608779802607961,0.3560851926977687,0.3333333333333333,0.3417098844672657,0.3943771043771044,0.438095238095238,0.4135800718472301,0.4001656314699793,0.3185185185185185,0.3542486441385065
HDAC,0.7314564756425221,0.6666666666666666,0.6967104664329222,0.7978943278943279,0.7791666666666666,0.7868692535452704,0.7349147337592697,0.7625,0.7476913942452779,0.6576031754944041,0.6755555555555556,0.6653166847294727,0.8113674136891962,0.75,0.7790229810774444,0.6919172670910506,0.6577777777777778,0.6716827477919687,0.7138137136829842,0.7458333333333333,0.7291947669525276,0.6438786209466023,0.6577777777777778,0.649779811604627,0.8383484149337809,0.7083333333333333,0.7665666328936037,0.6468425238600213,0.5288888888888889,0.5789214274097996,0.6184874137646663,0.6711111111111111,0.6421942069857454,0.8664343883581633,0.6125,0.7151425792463078
HMGCR,0.2,0.0333333333333333,0.0571428571428571,0.6357142857142858,0.4666666666666667,0.5323076923076923,0.6666666666666666,0.3999999999999999,0.4977777777777777,0.35,0.1,0.1471428571428571,0.3583333333333333,0.3333333333333333,0.3317460317460317,0.18,0.1333333333333333,0.1505050505050505,0.675,0.4333333333333333,0.5057142857142857,0.4333333333333333,0.1333333333333333,0.196031746031746,0.2725668449197861,0.5,0.3366977225672878,0.3333333333333333,0.1,0.146031746031746,0.0,0.0,0.0,0.2588866396761133,0.5,0.3350300751879699
JAK,0.2451132376395534,0.2666666666666666,0.2541008868959801,0.1793406593406593,0.1066666666666666,0.1293004926108374,0.1887210012210012,0.1733333333333333,0.1777684680910487,0.2566314111851637,0.2666666666666666,0.2594856246306823,0.1082692307692307,0.08,0.0908659587257062,0.2900488400488401,0.2761904761904762,0.2759562548423624,0.2271428571428571,0.1466666666666666,0.1768080808080808,0.2211646560620618,0.2666666666666666,0.2393658322353974,0.1388888888888889,0.0799999999999999,0.1014492753623188,0.2260040197111135,0.2476190476190476,0.2348812917628248,0.249088630667578,0.2571428571428571,0.2513674689300651,0.2126190476190476,0.1733333333333333,0.1841739130434782
MTOR,0.405498423145482,0.5333333333333334,0.4521286583598957,0.6164069264069264,0.6166666666666667,0.6116782573304314,0.5931818181818181,0.5,0.5396480331262941,0.5171107916850951,0.7,0.5933931474532143,0.7776767676767677,0.6499999999999999,0.7060135516657255,0.6258823529411764,0.8666666666666666,0.7264367816091954,0.6522544122544123,0.65,0.6488067295023817,0.5357953707798908,0.8166666666666668,0.6461064482421546,0.8206060606060607,0.7333333333333333,0.7736495388669302,0.5541208791208792,0.7833333333333333,0.6442089947089947,0.5392857142857144,0.7166666666666667,0.6136263736263736,0.7817948717948718,0.6833333333333333,0.7251688311688311
PARP,0.2764116902047936,0.3666666666666666,0.3142325470341489,0.2869494200268286,0.3777777777777777,0.3236905219752842,0.3262539682539682,0.3333333333333333,0.3249547542081202,0.2491925465838509,0.3,0.270862224504277,0.3115383180038352,0.3888888888888889,0.3428477321593717,0.324367816091954,0.3916666666666666,0.3523276458728295,0.3623529411764706,0.3555555555555555,0.358328173374613,0.3108141444612032,0.3666666666666666,0.3353294114580698,0.4147619047619048,0.4111111111111111,0.3991131907308378,0.2645863332070229,0.3166666666666666,0.2881266462398538,0.2406427718040621,0.275,0.2563358770081459,0.3672014260249554,0.3666666666666666,0.3576190476190476
TOPOISOMERASE,0.445405096451536,0.6666666666666666,0.5280571205243063,0.6299242424242424,0.8666666666666666,0.7187567334626157,0.6623669467787116,0.95,0.7763231021851711,0.4219461697722567,0.6833333333333333,0.5196536796536797,0.7497863247863248,0.8666666666666666,0.7954901394901396,0.5008669108669108,0.6833333333333333,0.5742435897435898,0.7197344322344322,0.9166666666666666,0.8036483516483516,0.5773107448107448,0.7166666666666667,0.6376996336996337,0.4520807453416148,0.85,0.5847876447876448,0.4802352941176471,0.7166666666666666,0.5713202858030445,0.5457142857142857,0.7166666666666667,0.6132575757575757,0.513927135666266,0.9333333333333332,0.6607754680819696
TUBULIN,0.6515873015873015,0.5111111111111112,0.5617521367521368,0.0,0.0,0.0,0.0,0.0,0.0,0.6259523809523809,0.4444444444444445,0.5166946778711484,0.0,0.0,0.0,0.8261904761904763,0.6666666666666666,0.7345098039215686,0.0,0.0,0.0,0.6122655122655122,0.6444444444444445,0.6231746031746032,0.0,0.0,0.0,0.7378571428571429,0.6222222222222222,0.6701393188854489,0.4953968253968254,0.4666666666666667,0.4734592892487629,0.0,0.0,0.0
TYROSINE KINASE,0.0492063492063492,0.0666666666666666,0.0565656565656565,0.0662464985994397,0.1666666666666666,0.0943961352657004,0.0488636363636363,0.1,0.0652406417112299,0.0785714285714285,0.0533333333333333,0.0626262626262626,0.0349999999999999,0.1,0.0517482517482517,0.0525,0.0666666666666666,0.0586175115207373,0.1092532467532467,0.2,0.1388540870893812,0.045,0.04,0.0418064516129032,0.0,0.0,0.0,0.0390374331550802,0.04,0.0386954261954261,0.0765079365079365,0.0666666666666666,0.0704597701149425,0.0414350355526826,0.1,0.0584439359267734
VEGFR,0.0622222222222222,0.05,0.0554112554112554,0.0,0.0,0.0,0.0285714285714285,0.0666666666666666,0.04,0.0525,0.05,0.0506493506493506,0.0,0.0,0.0,0.0,0.0,0.0,0.0222222222222222,0.0666666666666666,0.0333333333333333,0.0285714285714285,0.0166666666666666,0.0210526315789473,0.0,0.0,0.0,0.0181818181818181,0.0166666666666666,0.017391304347826,0.0,0.0,0.0,0.0,0.0,0.0
