moa,HEPG2_new_median_dmso_mad_structure_merge_tk_egfr_keep_vegfr,HEPG2_new_median_dmso_mad_structure_merge_tk_egfr_keep_vegfr,HEPG2_new_median_dmso_mad_structure_merge_tk_egfr_keep_vegfr,HEPG2_new_median_dmso_zscore_stratified_merge_tk_egfr_keep_vegfr,HEPG2_new_median_dmso_zscore_stratified_merge_tk_egfr_keep_vegfr,HEPG2_new_median_dmso_zscore_stratified_merge_tk_egfr_keep_vegfr,HEPG2_new_mean_standard_stratified_merge_tk_egfr_keep_vegfr,HEPG2_new_mean_standard_stratified_merge_tk_egfr_keep_vegfr,HEPG2_new_mean_standard_stratified_merge_tk_egfr_keep_vegfr,HEPG2_new_median_dmso_zscore_structure_merge_tk_egfr_keep_vegfr,HEPG2_new_median_dmso_zscore_structure_merge_tk_egfr_keep_vegfr,HEPG2_new_median_dmso_zscore_structure_merge_tk_egfr_keep_vegfr,HEPG2_new_mean_dmso_mad_structure_merge_tk_egfr_keep_vegfr,HEPG2_new_mean_dmso_mad_structure_merge_tk_egfr_keep_vegfr,HEPG2_new_mean_dmso_mad_structure_merge_tk_egfr_keep_vegfr,HEPG2_new_mean_standard_structure_merge_tk_egfr_keep_vegfr,HEPG2_new_mean_standard_structure_merge_tk_egfr_keep_vegfr,HEPG2_new_mean_standard_structure_merge_tk_egfr_keep_vegfr,HEPG2_new_mean_dmso_zscore_stratified_merge_tk_egfr_keep_vegfr,HEPG2_new_mean_dmso_zscore_stratified_merge_tk_egfr_keep_vegfr,HEPG2_new_mean_dmso_zscore_stratified_merge_tk_egfr_keep_vegfr,HEPG2_new_median_standard_structure_merge_tk_egfr_keep_vegfr,HEPG2_new_median_standard_structure_merge_tk_egfr_keep_vegfr,HEPG2_new_median_standard_structure_merge_tk_egfr_keep_vegfr,HEPG2_new_median_dmso_mad_stratified_merge_tk_egfr_keep_vegfr,HEPG2_new_median_dmso_mad_stratified_merge_tk_egfr_keep_vegfr,HEPG2_new_median_dmso_mad_stratified_merge_tk_egfr_keep_vegfr,HEPG2_new_mean_dmso_mad_stratified_merge_tk_egfr_keep_vegfr,HEPG2_new_mean_dmso_mad_stratified_merge_tk_egfr_keep_vegfr,HEPG2_new_mean_dmso_mad_stratified_merge_tk_egfr_keep_vegfr,HEPG2_new_median_standard_stratified_merge_tk_egfr_keep_vegfr,HEPG2_new_median_standard_stratified_merge_tk_egfr_keep_vegfr,HEPG2_new_median_standard_stratified_merge_tk_egfr_keep_vegfr,HEPG2_new_mean_dmso_zscore_structure_merge_tk_egfr_keep_vegfr,HEPG2_new_mean_dmso_zscore_structure_merge_tk_egfr_keep_vegfr,HEPG2_new_mean_dmso_zscore_structure_merge_tk_egfr_keep_vegfr
,precision,recall,f1,precision,recall,f1,precision,recall,f1,precision,recall,f1,precision,recall,f1,precision,recall,f1,precision,recall,f1,precision,recall,f1,precision,recall,f1,precision,recall,f1,precision,recall,f1,precision,recall,f1
AKT,0.4688888888888888,0.3999999999999999,0.4149494949494949,0.3475757575757575,0.4444444444444445,0.3869674185463659,0.3740196078431372,0.4444444444444445,0.3962077138547726,0.3066666666666666,0.3666666666666667,0.3317482517482518,0.204102564102564,0.2666666666666666,0.2251355661881977,0.4928571428571429,0.6,0.5395604395604396,0.2233333333333333,0.1999999999999999,0.2057142857142856,0.4272222222222222,0.6,0.4971428571428571,0.2991269841269841,0.4666666666666666,0.3539501915708812,0.3212121212121211,0.1555555555555555,0.1933333333333333,0.3256313131313131,0.4666666666666667,0.3752019919078743,0.2297835497835497,0.3,0.2540847387906211
AURORA KINASE,0.4092485292485293,0.35,0.373979533814774,0.3043290043290043,0.3444444444444444,0.3141025641025641,0.3428571428571428,0.2666666666666666,0.2995454545454545,0.4066666666666666,0.3333333333333333,0.3626358826358826,0.3262362637362638,0.35,0.3348278388278388,0.3868568033273915,0.3666666666666666,0.3728648662681646,0.2580440872000974,0.2666666666666667,0.2612347002590905,0.4542424242424243,0.4,0.4230171277997366,0.2740989729225023,0.2666666666666666,0.269546783625731,0.326060606060606,0.2444444444444444,0.2782027168234065,0.2965922381711855,0.3777777777777777,0.3306747383858767,0.4175000000000001,0.5166666666666667,0.4547619047619047
CDK,0.1250501253132832,0.0952380952380952,0.1076417532515093,0.2486813186813186,0.1555555555555555,0.1853044665127804,0.1849561041706904,0.1925925925925926,0.1865938697318007,0.1597435897435897,0.1333333333333333,0.1424925152688515,0.2416729917773561,0.2476190476190475,0.2404820936271513,0.259824016563147,0.3047619047619047,0.2800975146316761,0.3176949620427881,0.2222222222222222,0.259733206481001,0.238399835458659,0.219047619047619,0.2262532174613218,0.1924417249417249,0.1185185185185185,0.1454564151241892,0.2667420814479638,0.1629629629629629,0.1994906059276397,0.4240550239234449,0.2592592592592592,0.3175716517493486,0.2297415329768271,0.2285714285714285,0.2281359031659058
HDAC,0.7367438536306461,0.7833333333333333,0.7576079413706311,0.6510305665156622,0.6755555555555557,0.6623828465931336,0.8054650188521156,0.64,0.7099243399311234,0.7467822636300897,0.7541666666666667,0.7493305967653943,0.7638795501793826,0.775,0.7686783257074584,0.8707737899843163,0.7,0.7759704074091546,0.6421814038674504,0.6666666666666666,0.6530574327101728,0.8348646125116712,0.6875,0.7517894078280076,0.6452935839113033,0.6666666666666667,0.65478339480807,0.6359750756489888,0.6844444444444445,0.6577002244979423,0.6801572411328507,0.5644444444444445,0.6147000038186886,0.8301869918699186,0.8125,0.820325995566766
HMGCR,0.5533333333333333,0.3999999999999999,0.4535353535353534,0.3,0.0666666666666666,0.1071428571428571,0.2066666666666666,0.1333333333333333,0.153030303030303,0.7833333333333333,0.4666666666666667,0.5755555555555555,0.5866666666666667,0.4333333333333333,0.4757575757575757,0.2273076923076923,0.4666666666666666,0.3043460925039872,0.2666666666666666,0.2,0.2266666666666666,0.2487301587301587,0.3333333333333333,0.2782034632034632,0.09,0.0666666666666666,0.0763636363636363,0.05,0.0333333333333333,0.04,0.0,0.0,0.0,0.4057142857142857,0.4,0.4013986013986014
JAK,0.1784320942215679,0.16,0.1671622495151907,0.1873795093795093,0.1809523809523809,0.1825342919347704,0.2410628019323671,0.2857142857142857,0.258221486675659,0.2735423400129282,0.2,0.2255613275613275,0.0685714285714285,0.04,0.0501818181818181,0.1468627450980392,0.1066666666666666,0.1188302277432712,0.2476944624003447,0.2285714285714285,0.2353831647099065,0.10508658008658,0.0666666666666666,0.0805873675438892,0.1764311315924219,0.2285714285714285,0.1977896799745539,0.285518143184047,0.2952380952380952,0.2898701298701298,0.2483666050961447,0.2571428571428571,0.2492835119200561,0.0419047619047619,0.0266666666666666,0.0315151515151515
MTOR,0.6553846153846153,0.6,0.624,0.5473529411764706,0.6833333333333333,0.6060755336617405,0.5726178190574476,0.8,0.6626622172784575,0.5918803418803418,0.6666666666666667,0.6233333333333333,0.7735314685314685,0.6333333333333333,0.6907667984189724,0.738894438894439,0.75,0.742773690078038,0.5942510121457489,0.75,0.660294458229942,0.7638095238095237,0.7,0.7154415954415955,0.6152777777777778,0.8166666666666668,0.701058201058201,0.4459126984126983,0.6,0.5073400673400673,0.6192343604108311,0.8,0.6963355928873171,0.7171717171717171,0.65,0.6722981366459627
PARP,0.2870861937452326,0.3111111111111111,0.2979865616579352,0.3779468864468864,0.3666666666666666,0.3678987150415722,0.3227768910767968,0.3583333333333334,0.3361427770955318,0.3981779133057905,0.4555555555555555,0.4201858304297328,0.3417748917748918,0.3555555555555555,0.3398484848484848,0.3707713854772678,0.4555555555555555,0.4006201769245248,0.3337971168616329,0.3916666666666666,0.3591859894491473,0.3534049026309088,0.4777777777777777,0.4020443520443519,0.3764548494983277,0.35,0.3619961315280464,0.374025974025974,0.45,0.4063697705802968,0.2943219050083376,0.325,0.3037927968479958,0.3216905744754042,0.3555555555555555,0.3342388470158648
TOPOISOMERASE,0.616984126984127,0.9666666666666666,0.7514285714285714,0.5215691402419091,0.7333333333333333,0.6050667611957934,0.4855555555555556,0.7,0.5721679438058749,0.6685026737967915,0.9833333333333332,0.792106957725619,0.645388471177945,0.9166666666666666,0.7535646999356678,0.5691666666666667,0.85,0.6696428571428571,0.4284843123852411,0.6666666666666666,0.5198335699938788,0.5289542483660131,0.8833333333333334,0.6580700317262183,0.5365966386554621,0.75,0.6237050306015823,0.4720652173913043,0.7166666666666666,0.5667857142857143,0.4766666666666667,0.7166666666666666,0.5710185185185186,0.7241666666666666,0.8333333333333333,0.771957671957672
TUBULIN,0.0,0.0,0.0,0.6473015873015873,0.5333333333333334,0.5778478057889822,0.7664285714285715,0.6444444444444445,0.695139318885449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5809523809523809,0.4444444444444445,0.4891243946971501,0.0,0.0,0.0,0.6238095238095237,0.5777777777777778,0.5969298245614035,0.6599999999999999,0.5333333333333334,0.5626257952573741,0.7404761904761905,0.6222222222222221,0.6745098039215687,0.0,0.0,0.0
TYROSINE KINASE,0.3874275362318841,0.3575757575757575,0.3681726185750953,0.3066074025633427,0.3333333333333333,0.3180793885350051,0.2006439174860227,0.1777777777777777,0.1874669757734273,0.4049365516911155,0.3454545454545454,0.3666616134908044,0.3954813108038914,0.3454545454545454,0.3651506483600305,0.4099242424242424,0.2424242424242424,0.3025999604500101,0.314516806722689,0.3166666666666666,0.3148044350887415,0.3889447757324345,0.2363636363636364,0.2901012379055916,0.3465647235905856,0.3166666666666666,0.3304512848837621,0.340246606196542,0.3777777777777778,0.3579338234075077,0.2650198920147769,0.2722222222222222,0.2662758923164235,0.4119425437167373,0.4121212121212121,0.4103847212446081
VEGFR,0.025,0.0666666666666666,0.0363636363636363,0.0,0.0,0.0,0.0949300699300699,0.1111111111111111,0.101711229946524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0967532467532467,0.0666666666666666,0.0784439359267734,0.0,0.0,0.0,0.0,0.0,0.0,0.1116666666666666,0.0999999999999999,0.1045117845117845,0.05,0.05,0.05,0.0,0.0,0.0
