moa,NIHOVCAR3_median_dmso_zscore_stratified_merge_tk_egfr_keep_vegfr,NIHOVCAR3_median_dmso_zscore_stratified_merge_tk_egfr_keep_vegfr,NIHOVCAR3_median_dmso_zscore_stratified_merge_tk_egfr_keep_vegfr,NIHOVCAR3_median_dmso_zscore_structure_merge_tk_egfr_keep_vegfr,NIHOVCAR3_median_dmso_zscore_structure_merge_tk_egfr_keep_vegfr,NIHOVCAR3_median_dmso_zscore_structure_merge_tk_egfr_keep_vegfr,NIHOVCAR3_mean_standard_structure_merge_tk_egfr_keep_vegfr,NIHOVCAR3_mean_standard_structure_merge_tk_egfr_keep_vegfr,NIHOVCAR3_mean_standard_structure_merge_tk_egfr_keep_vegfr,NIHOVCAR3_median_dmso_mad_structure_merge_tk_egfr_keep_vegfr,NIHOVCAR3_median_dmso_mad_structure_merge_tk_egfr_keep_vegfr,NIHOVCAR3_median_dmso_mad_structure_merge_tk_egfr_keep_vegfr,NIHOVCAR3_mean_dmso_mad_structure_merge_tk_egfr_keep_vegfr,NIHOVCAR3_mean_dmso_mad_structure_merge_tk_egfr_keep_vegfr,NIHOVCAR3_mean_dmso_mad_structure_merge_tk_egfr_keep_vegfr,NIHOVCAR3_median_dmso_mad_stratified_merge_tk_egfr_keep_vegfr,NIHOVCAR3_median_dmso_mad_stratified_merge_tk_egfr_keep_vegfr,NIHOVCAR3_median_dmso_mad_stratified_merge_tk_egfr_keep_vegfr,NIHOVCAR3_mean_dmso_mad_stratified_merge_tk_egfr_keep_vegfr,NIHOVCAR3_mean_dmso_mad_stratified_merge_tk_egfr_keep_vegfr,NIHOVCAR3_mean_dmso_mad_stratified_merge_tk_egfr_keep_vegfr,NIHOVCAR3_mean_dmso_zscore_structure_merge_tk_egfr_keep_vegfr,NIHOVCAR3_mean_dmso_zscore_structure_merge_tk_egfr_keep_vegfr,NIHOVCAR3_mean_dmso_zscore_structure_merge_tk_egfr_keep_vegfr,NIHOVCAR3_median_standard_structure_merge_tk_egfr_keep_vegfr,NIHOVCAR3_median_standard_structure_merge_tk_egfr_keep_vegfr,NIHOVCAR3_median_standard_structure_merge_tk_egfr_keep_vegfr,NIHOVCAR3_median_standard_stratified_merge_tk_egfr_keep_vegfr,NIHOVCAR3_median_standard_stratified_merge_tk_egfr_keep_vegfr,NIHOVCAR3_median_standard_stratified_merge_tk_egfr_keep_vegfr,NIHOVCAR3_mean_dmso_zscore_stratified_merge_tk_egfr_keep_vegfr,NIHOVCAR3_mean_dmso_zscore_stratified_merge_tk_egfr_keep_vegfr,NIHOVCAR3_mean_dmso_zscore_stratified_merge_tk_egfr_keep_vegfr,NIHOVCAR3_mean_standard_stratified_merge_tk_egfr_keep_vegfr,NIHOVCAR3_mean_standard_stratified_merge_tk_egfr_keep_vegfr,NIHOVCAR3_mean_standard_stratified_merge_tk_egfr_keep_vegfr
,precision,recall,f1,precision,recall,f1,precision,recall,f1,precision,recall,f1,precision,recall,f1,precision,recall,f1,precision,recall,f1,precision,recall,f1,precision,recall,f1,precision,recall,f1,precision,recall,f1,precision,recall,f1
AKT,0.5355555555555556,0.4,0.4479712100764733,0.7378571428571429,0.9666666666666668,0.8335164835164836,0.7166666666666666,0.9666666666666668,0.8164285714285715,0.7158730158730158,0.9333333333333332,0.8046153846153846,0.6678571428571429,0.9666666666666668,0.7763736263736265,0.3257967032967033,0.3555555555555555,0.333350408105826,0.3635564435564435,0.3555555555555555,0.3448249576510446,0.7137362637362638,1.0,0.825216888374783,0.6350793650793651,0.9,0.741941391941392,0.5468614718614718,0.4444444444444445,0.4839215686274509,0.5295238095238096,0.4888888888888888,0.4946491228070176,0.4160173160173159,0.5111111111111111,0.4526190476190477
AURORA KINASE,0.5315762668703845,0.4333333333333334,0.4575003157761778,0.8366666666666667,0.4166666666666667,0.5526797385620915,0.7595238095238095,0.5,0.6012030075187969,0.8476190476190476,0.4666666666666667,0.6011695906432748,0.8528571428571429,0.5,0.626749226006192,0.4887746240687416,0.5111111111111111,0.4943253968253968,0.4160191541656072,0.5111111111111112,0.4571062847186081,0.9269841269841268,0.5166666666666667,0.6579979360165119,0.8547619047619047,0.5,0.627268170426065,0.4769668737060041,0.6444444444444445,0.5465683132703282,0.4775520178745985,0.7,0.5656107660455487,0.3882883022774327,0.4888888888888888,0.4278959986106227
CDK,0.2715220695309536,0.2074074074074074,0.2339215318842648,0.3296541693600517,0.238095238095238,0.2758038179710006,0.3634649122807017,0.3142857142857142,0.3365574768013792,0.1952380952380952,0.1714285714285714,0.1815384615384615,0.4133746867167919,0.3619047619047618,0.3827357170835432,0.1510024154589372,0.1111111111111111,0.12780823574688,0.3292207792207792,0.237037037037037,0.2745983499782892,0.36752080871074,0.3428571428571428,0.3521237585943468,0.2352712850193711,0.3238095238095238,0.2687950287166933,0.4022770943701177,0.4222222222222222,0.4002766648245371,0.438411125319693,0.3481481481481481,0.3807477693768589,0.5489913526209033,0.437037037037037,0.4819721444143276
HDAC,0.4649438682576855,0.5244444444444445,0.4908752880439172,0.7450079536375849,0.6291666666666667,0.6717670031178409,0.8124500660214947,0.7416666666666667,0.7735388597393238,0.7112789083330534,0.6625000000000001,0.6843949627595667,0.7802183323922455,0.6250000000000001,0.6879301058690513,0.5817360277444311,0.5733333333333335,0.572416051849536,0.6040363345177918,0.7511111111111111,0.6684671491912295,0.6798197144470437,0.65,0.6625066383084557,0.7878841041998937,0.6083333333333333,0.6831335197176658,0.5941102756892229,0.5333333333333333,0.5615047614392663,0.574911656535976,0.72,0.6392359510080078,0.7123710867540656,0.6622222222222223,0.6786585989481113
HMGCR,0.1,0.0333333333333333,0.05,0.2142857142857142,0.1999999999999999,0.1823076923076923,0.1588888888888889,0.1666666666666666,0.1532539682539682,0.2452380952380952,0.1333333333333333,0.1652136752136752,0.2244444444444444,0.2333333333333333,0.2196969696969696,0.0,0.0,0.0,0.2166666666666667,0.2333333333333333,0.2171428571428571,0.2216017316017315,0.2666666666666667,0.2294153558859441,0.1165079365079364,0.1333333333333333,0.1193939393939393,0.0866666666666666,0.1,0.0916666666666666,0.2352380952380952,0.2,0.2137995337995338,0.1212987012987012,0.2333333333333333,0.1591176470588235
JAK,0.3183150183150183,0.238095238095238,0.2693557422969188,0.2886013986013986,0.2266666666666666,0.2533675213675214,0.1962116830537883,0.1733333333333333,0.1774467362702657,0.2282590612002376,0.2533333333333333,0.2373577213577213,0.305,0.24,0.2658637992831541,0.2580149319279754,0.219047619047619,0.2344681158634647,0.1958730158730158,0.1238095238095238,0.1477496311642653,0.2498809523809523,0.2133333333333333,0.2202624117350625,0.1602930402930403,0.1599999999999999,0.1556421356421356,0.2295763060468943,0.1714285714285714,0.1946086831305349,0.2252167182662538,0.1809523809523809,0.1991149113870551,0.2544542390458906,0.238095238095238,0.2408622908622908
MTOR,0.25,0.0333333333333333,0.0557692307692307,0.8868181818181817,0.7333333333333334,0.798977978543196,0.9103030303030304,0.8,0.8504611330698287,0.8098124098124098,0.6666666666666666,0.7250735534488395,0.8986363636363637,0.6166666666666667,0.7226780389709451,0.3738095238095237,0.15,0.2042481203007518,0.6466666666666667,0.2499999999999999,0.3356058320764202,0.9214141414141416,0.6666666666666667,0.7616146853998517,0.8671794871794871,0.6833333333333333,0.7517065390749601,0.7257142857142858,0.25,0.3643343653250774,0.8533333333333333,0.2166666666666666,0.3410644257703081,0.42,0.15,0.2205882352941176
PARP,0.5457569786535303,0.6666666666666667,0.5985362841820423,0.4838509316770186,0.5,0.4885750962772786,0.5118067632850242,0.6666666666666666,0.5754900107140607,0.5152941176470589,0.5777777777777777,0.5413533834586466,0.4868347338935574,0.5555555555555556,0.5170679830165754,0.5372550591063915,0.7000000000000001,0.6037915547029291,0.5365672165672166,0.7333333333333333,0.6186944933263355,0.527885513179631,0.5666666666666667,0.5360898506200049,0.5746983408748114,0.6555555555555556,0.6068929007009501,0.5676793013749535,0.5833333333333333,0.5749332498957029,0.5409450830140485,0.6666666666666667,0.596835967091239,0.5252964669738864,0.6083333333333334,0.562661888376174
TOPOISOMERASE,0.2312251674751674,0.4666666666666667,0.3016997761358663,0.138965744400527,0.1833333333333333,0.150904071773637,0.5841758241758241,0.65,0.6100368870895186,0.1922077922077922,0.1666666666666666,0.1534055727554179,0.2817007223942208,0.55,0.3674796254880406,0.2552924199983023,0.5333333333333333,0.3247754274123442,0.5448051948051947,0.5,0.5146353163744468,0.271203007518797,0.3833333333333333,0.3123544748969197,0.4615208321090674,0.4666666666666666,0.4392689228141347,0.5755555555555556,0.5,0.5296403596403596,0.5843589743589744,0.5666666666666668,0.5690370370370371,0.5193650793650794,0.55,0.5069441279967595
TUBULIN,0.4009803465338855,0.8444444444444444,0.5369686843371053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.229004329004329,0.3777777777777778,0.2802898550724638,0.6053174603174603,0.6888888888888888,0.6267670811014464,0.0,0.0,0.0,0.0,0.0,0.0,0.3094444444444445,0.7777777777777777,0.4305918948776092,0.4468054298642534,0.5111111111111111,0.3634882764294529,0.4402852049910873,0.6,0.5046886446886447
TYROSINE KINASE,0.412147081611968,0.3833333333333333,0.3934997955870821,0.5736360739403336,0.5515151515151515,0.5596407176176231,0.7720562046649003,0.5757575757575757,0.6583790971024266,0.5870649928491976,0.4606060606060606,0.5125,0.6005618849561395,0.5151515151515151,0.5532030377813033,0.4402152827211836,0.3388888888888889,0.378120629479624,0.3895131381677582,0.3388888888888889,0.3593121674477607,0.6410506479471996,0.5696969696969696,0.601799294199513,0.7460668276972624,0.5878787878787878,0.651472383825325,0.4703609883370003,0.3388888888888889,0.3923714866372669,0.4048659003831417,0.3333333333333333,0.3644626593806921,0.433073593073593,0.3555555555555555,0.3866708371925668
VEGFR,0.0285714285714285,0.0166666666666666,0.0210526315789473,0.0333333333333333,0.0666666666666666,0.0444444444444444,0.1195115995115995,0.3333333333333333,0.1705555555555555,0.0222222222222222,0.0666666666666666,0.0333333333333333,0.0,0.0,0.0,0.0333333333333333,0.0166666666666666,0.0222222222222222,0.025,0.0166666666666666,0.02,0.2,0.0666666666666666,0.1,0.0971428571428571,0.2,0.13,0.0742322383498854,0.1,0.0841886120790786,0.0431818181818181,0.0333333333333333,0.037391304347826,0.0,0.0,0.0
