moa,U2OS_mean_dmso_mad_structure_merge_tk_egfr_vegfr,U2OS_mean_dmso_mad_structure_merge_tk_egfr_vegfr,U2OS_mean_dmso_mad_structure_merge_tk_egfr_vegfr,U2OS_mean_dmso_mad_stratified_merge_tk_egfr_vegfr,U2OS_mean_dmso_mad_stratified_merge_tk_egfr_vegfr,U2OS_mean_dmso_mad_stratified_merge_tk_egfr_vegfr,U2OS_mean_dmso_zscore_stratified_merge_tk_egfr_vegfr,U2OS_mean_dmso_zscore_stratified_merge_tk_egfr_vegfr,U2OS_mean_dmso_zscore_stratified_merge_tk_egfr_vegfr,U2OS_median_standard_stratified_merge_tk_egfr_vegfr,U2OS_median_standard_stratified_merge_tk_egfr_vegfr,U2OS_median_standard_stratified_merge_tk_egfr_vegfr,U2OS_median_dmso_mad_structure_merge_tk_egfr_vegfr,U2OS_median_dmso_mad_structure_merge_tk_egfr_vegfr,U2OS_median_dmso_mad_structure_merge_tk_egfr_vegfr,U2OS_median_standard_structure_merge_tk_egfr_vegfr,U2OS_median_standard_structure_merge_tk_egfr_vegfr,U2OS_median_standard_structure_merge_tk_egfr_vegfr,U2OS_mean_standard_structure_merge_tk_egfr_vegfr,U2OS_mean_standard_structure_merge_tk_egfr_vegfr,U2OS_mean_standard_structure_merge_tk_egfr_vegfr,U2OS_median_dmso_mad_stratified_merge_tk_egfr_vegfr,U2OS_median_dmso_mad_stratified_merge_tk_egfr_vegfr,U2OS_median_dmso_mad_stratified_merge_tk_egfr_vegfr,U2OS_mean_dmso_zscore_structure_merge_tk_egfr_vegfr,U2OS_mean_dmso_zscore_structure_merge_tk_egfr_vegfr,U2OS_mean_dmso_zscore_structure_merge_tk_egfr_vegfr,U2OS_mean_standard_stratified_merge_tk_egfr_vegfr,U2OS_mean_standard_stratified_merge_tk_egfr_vegfr,U2OS_mean_standard_stratified_merge_tk_egfr_vegfr,U2OS_median_dmso_zscore_stratified_merge_tk_egfr_vegfr,U2OS_median_dmso_zscore_stratified_merge_tk_egfr_vegfr,U2OS_median_dmso_zscore_stratified_merge_tk_egfr_vegfr,U2OS_median_dmso_zscore_structure_merge_tk_egfr_vegfr,U2OS_median_dmso_zscore_structure_merge_tk_egfr_vegfr,U2OS_median_dmso_zscore_structure_merge_tk_egfr_vegfr
,precision,recall,f1,precision,recall,f1,precision,recall,f1,precision,recall,f1,precision,recall,f1,precision,recall,f1,precision,recall,f1,precision,recall,f1,precision,recall,f1,precision,recall,f1,precision,recall,f1,precision,recall,f1
AKT,0.7184981684981685,0.9666666666666668,0.8066576698155646,0.6791666666666666,0.6444444444444445,0.6381176470588235,0.7487789987789988,0.7555555555555554,0.7437017231134878,0.7116666666666667,0.711111111111111,0.7067079463364292,0.7378571428571429,0.9666666666666668,0.8335164835164834,0.8214285714285715,1.0,0.8989010989010989,0.9142857142857144,0.9666666666666668,0.9356643356643356,0.5488888888888889,0.5111111111111111,0.5219715956558062,0.7880952380952381,0.9666666666666668,0.8578621378621378,0.5924242424242424,0.6666666666666666,0.6230812324929971,0.6437118437118438,0.6888888888888888,0.6587586390217969,0.7033333333333334,1.0,0.8242857142857144
AURORA KINASE,0.6344444444444445,0.3333333333333333,0.4259719039130804,0.4791403443577356,0.6333333333333334,0.5446070460704607,0.46003256003256,0.6888888888888889,0.5515239350021959,0.4594551632913702,0.7666666666666667,0.5734083473451285,0.6599999999999999,0.4,0.4941176470588235,0.8047619047619048,0.5,0.6139348370927319,0.7761904761904762,0.5,0.6069172932330826,0.4695785953177257,0.6555555555555556,0.5468828958902697,0.761904761904762,0.4166666666666667,0.5380116959064327,0.4883950991537198,0.7444444444444445,0.5891580760382258,0.4860910973084886,0.6333333333333333,0.5495910026823243,0.8647619047619048,0.4166666666666667,0.5603027175782593
CDK,0.736632490316701,0.638095238095238,0.679313399778516,0.5758556089219704,0.5111111111111111,0.5393476023566262,0.6254636591478697,0.5555555555555556,0.5859486464090045,0.5325923504413206,0.4074074074074073,0.4607524401064774,0.7031601731601731,0.5333333333333333,0.5997688287322434,0.5749242424242424,0.4571428571428571,0.5034558768534946,0.6694771241830065,0.5714285714285714,0.6160890029952931,0.5680000000000001,0.5111111111111111,0.5368156131303461,0.6889620183737831,0.5619047619047619,0.613490799390678,0.5358909835684029,0.5259259259259259,0.5290359339620423,0.5935886910024841,0.5111111111111111,0.5454139139932701,0.7117300604452307,0.5904761904761904,0.6431725710673079
HDAC,0.940813021713566,0.8625,0.8996380583565937,0.8067341886576876,0.7822222222222222,0.7934288395206812,0.8653744297318349,0.7733333333333333,0.8152613249659553,0.8798699271099786,0.7733333333333334,0.8223503432046041,0.9028638134086652,0.8625,0.880821669486146,0.9092833592055178,0.8291666666666666,0.8668680721033454,0.8763399720846529,0.8333333333333334,0.8531360284769895,0.8395066495066494,0.8044444444444444,0.8199765472626919,0.9381223524124852,0.8833333333333334,0.908903980942416,0.9514423076923076,0.7333333333333333,0.8272893538716325,0.832454687978918,0.8177777777777777,0.8239896991540936,0.9384199134199134,0.8666666666666666,0.9007004830917873
HMGCR,0.9,0.5333333333333333,0.6433333333333333,0.6714285714285715,0.7333333333333333,0.7,0.6557142857142857,0.8666666666666666,0.7434065934065934,0.6533333333333332,0.9,0.75,0.8133333333333332,0.3999999999999999,0.5282828282828282,0.9166666666666669,0.7,0.7884848484848485,0.830952380952381,0.6,0.6764102564102564,0.6216233766233766,0.7,0.6437209848974554,0.9,0.5333333333333333,0.6666666666666666,0.6566666666666666,1.0,0.7914285714285715,0.616031746031746,0.8333333333333333,0.705018315018315,0.8333333333333334,0.6666666666666666,0.7251515151515152
JAK,0.34095670995671,0.44,0.3758608058608058,0.3053887289181407,0.2095238095238095,0.2464009287925696,0.4004444444444444,0.238095238095238,0.2851734926581374,0.3059523809523809,0.219047619047619,0.2526968526968527,0.4042124542124543,0.5466666666666667,0.4601492517388227,0.3925,0.3999999999999999,0.3877965523126813,0.3826839826839827,0.5466666666666666,0.4470874057080953,0.2823953823953824,0.1333333333333333,0.1792200328407224,0.4335019701660568,0.5466666666666666,0.4820990270563325,0.3464005602240896,0.2666666666666666,0.3003454362119317,0.2489177489177489,0.1333333333333333,0.1713852813852813,0.3741442406922283,0.4000000000000001,0.3852484864913707
MTOR,0.8041980894922072,0.9166666666666666,0.8490284857571213,0.9178571428571428,0.5166666666666667,0.6562435500515995,0.8195238095238094,0.45,0.577860337117303,0.7107142857142857,0.4333333333333334,0.5359231411862989,0.856140526140526,0.85,0.8501135096787271,0.7365079365079364,0.9,0.8082051282051281,0.9571428571428572,0.9333333333333332,0.942353298875038,0.9064285714285714,0.3833333333333333,0.5204334365325077,0.9666666666666666,0.85,0.9017316017316016,0.7309523809523809,0.45,0.5547535505430242,0.7933333333333333,0.4,0.5260504201680672,0.9343822843822844,0.85,0.8864931300583473
PARP,0.7003007518796992,0.7,0.6934845559845559,0.4928409090909091,0.7166666666666667,0.5832467822097617,0.4852389113852529,0.6833333333333333,0.5632896980366515,0.3880682990899709,0.5583333333333333,0.4569898978071801,0.686179441473559,0.7111111111111111,0.6946031746031747,0.631068008184713,0.8111111111111112,0.7065276157959085,0.5946573426573426,0.8111111111111111,0.6835192714262481,0.4446703296703296,0.6833333333333333,0.5383457761635728,0.7027799736495388,0.7555555555555555,0.7216790574322856,0.4791341991341992,0.6666666666666666,0.555608251397725,0.4266278599725119,0.5833333333333333,0.4917590705671624,0.7235588972431077,0.7555555555555556,0.7385308385308386
TOPOISOMERASE,0.5548764960529666,0.5333333333333333,0.5278232678532528,0.5957042957042957,0.6166666666666666,0.6045484949832776,0.6460531135531136,0.7833333333333333,0.7072836792836792,0.7375291375291375,0.7333333333333333,0.7343768115942029,0.6424242424242423,0.8,0.7087922705314009,0.7992857142857143,0.8333333333333333,0.8085914085914085,0.6683316683316682,0.6166666666666666,0.6332096461890512,0.6756743256743258,0.7166666666666666,0.6940535117056856,0.6400132684652808,0.8833333333333332,0.7325368735824799,0.7438561438561438,0.8,0.7685673231760188,0.6183441558441558,0.7,0.6530578117534639,0.6632352941176471,0.9166666666666669,0.7694581280788177
TUBULIN,0.0,0.0,0.0,0.7783333333333333,0.7555555555555555,0.765531475748194,0.8755555555555556,0.6888888888888889,0.7618713450292397,0.7747619047619048,0.6666666666666666,0.7108255933952528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7353174603174603,0.711111111111111,0.7167600373482726,0.0,0.0,0.0,0.8928571428571429,0.6888888888888889,0.7761764705882352,0.8614285714285714,0.6888888888888889,0.7585448916408669,0.0,0.0,0.0
TYROSINE KINASE,0.5968167701863354,0.7025641025641025,0.6450143991185235,0.4506418219461697,0.44,0.4450978906151319,0.4765873015873015,0.4444444444444445,0.4585957611961516,0.4896686358677943,0.4577777777777777,0.4705456958443357,0.5607756496830653,0.6512820512820513,0.6016251216832972,0.5346466490182398,0.605128205128205,0.5658188255720459,0.6305148005148006,0.6564102564102564,0.642821657989324,0.5191676794060208,0.52,0.5176641125916488,0.6206773914547656,0.7282051282051282,0.6694701183321513,0.5063252300352927,0.4666666666666666,0.4840456956647475,0.5035616195398804,0.52,0.5100734963960771,0.5882151712467352,0.7282051282051282,0.6496295294958604
