pdid,name,target_name,gene_name,target_type,activity_biochemical,SMILES_std,mw,hba,hbd,rb,logp,tpsa,moa_label,Standardized_SMILES,SMILES_protonated_7.4,morgan_fps,set,cluster
PD121477,CHEMBL3416132,Protein mono-ADP-ribosyltransferase PARP10,PARP10,single protein,4.39,O=C1NCCc2ccc(Cl)cc21,181.03,1.0,1.0,0.0,1.63,29.1,PARP,O=C1NCCc2ccc(Cl)cc21,ClC1=CC=C2CCNC(=O)C2=C1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x746fc75d9000>,tr,0
PD003609,CHM-1,Tubulin beta-2B chain,TUBB2B,single protein,6.07,O=c1cc(-c2ccccc2F)[nH]c2cc3c(cc12)OCO3,283.06,3.0,1.0,1.0,3.06,51.32,TUBULIN,O=c1cc(-c2ccccc2F)[nH]c2cc3c(cc12)OCO3,FC1=CC=CC=C1C1=CC(=O)C2=CC3=C(OCO3)C=C2N1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x746fc75d8f20>,tr,1
PD119876,DHNQ,Aurora kinase A,AURKA,single protein,7.05,O=C1C=CC(=O)c2c(O)ccc(O)c21,190.03,4.0,2.0,0.0,1.03,74.6,AURORA KINASE,O=C1C=CC(=O)c2c(O)ccc(O)c21,OC1=C2C(=O)C=CC(=O)C2=C(O)C=C1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x746fc75d92a0>,tr,2
PD041146,EF24,RAC-beta serine/threonine-protein kinase,AKT2,single protein,6.14,O=C1/C(=C/c2ccccc2F)CNC/C1=C\c1ccccc1F,311.11,2.0,1.0,2.0,3.6,29.1,AKT,O=C1/C(=C/c2ccccc2F)CNC/C1=C\c1ccccc1F,FC1=CC=CC=C1\C=C1/CNC\C(=C/C2=CC=CC=C2F)C1=O,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x746fc75d9070>,tr,3
PD150828,GOSSYPIN,Aurora kinase B,AURKB,single protein,4.96,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2c(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(O)cc(O)c12,480.09,13.0,9.0,4.0,-0.83,230.74,AURORA KINASE,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2c(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(O)cc(O)c12,OC[C@H]1O[C@@H](OC2=C3OC(=C([O-])C(=O)C3=C(O)C=C2[O-])C2=CC=C(O)C(O)=C2)[C@H](O)[C@@H](O)[C@@H]1O,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x746fc75d9310>,tr,4
PD003753,GW770249X,Vascular endothelial growth factor receptor 3,FLT4,single protein,8.12,Nc1ncnc2occ(-c3ccc(NC(=O)Nc4cc(C(F)(F)F)ccc4F)cc3)c12,431.1,5.0,3.0,3.0,5.27,106.07,TYROSINE KINASE,Nc1ncnc2occ(-c3ccc(NC(=O)Nc4cc(C(F)(F)F)ccc4F)cc3)c12,NC1=C2C(OC=C2C2=CC=C(NC(=O)NC3=CC(=CC=C3F)C(F)(F)F)C=C2)=NC=N1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x746fc75d8970>,tr,4
PD040184,NSC 33994,Tyrosine-protein kinase JAK2,JAK2,single protein,7.22,CC/C(=C(/CC)c1ccc(O)c(CN(CC)CC)c1)c1ccc(O)c(CN(CC)CC)c1,438.32,4.0,2.0,12.0,6.51,46.94,JAK,CC/C(=C(/CC)c1ccc(O)c(CN(CC)CC)c1)c1ccc(O)c(CN(CC)CC)c1,CC[NH+](CC)CC1=CC(=CC=C1O)C(\CC)=C(/CC)C1=CC=C(O)C(C[NH+](CC)CC)=C1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x746fc75d8dd0>,tr,5
PD097815,OSM-S-171,Poly [ADP-ribose] polymerase 1,PARP1,single protein,4.85,O=c1[nH]cnc2ccsc12,152.0,3.0,1.0,0.0,0.98,45.75,PARP,O=c1[nH]cnc2ccsc12,O=C1NC=NC2=C1SC=C2,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x746fc75d89e0>,tr,7
PD164656,PARP1-IN-5 (dihydrochloride),Poly [ADP-ribose] polymerase 1,PARP1,single protein,7.54,O=c1cc(-c2ccc(O)cc2)oc2c(CN3CCN(Cc4cccs4)CC3)c(O)cc(O)c12,464.14,8.0,3.0,5.0,3.96,97.38,PARP,O=c1cc(-c2ccc(O)cc2)oc2c(CN3CCN(Cc4cccs4)CC3)c(O)cc(O)c12,OC1=CC=C(C=C1)C1=CC(=O)C2=C([O-])C=C([O-])C(CN3CCN(CC4=CC=CS4)CC3)=C2O1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x746fc75d8f90>,tr,8
PD199656,PARP10-IN-2,Protein mono-ADP-ribosyltransferase PARP10,PARP10,single protein,5.44,N#Cc1ccc(Oc2ccc(C(N)=O)cc2)cc1,238.07,3.0,1.0,3.0,2.45,76.11,PARP,N#Cc1ccc(Oc2ccc(C(N)=O)cc2)cc1,NC(=O)C1=CC=C(OC2=CC=C(C=C2)C#N)C=C1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x746fc75d91c0>,tr,9
PD171251,PARP10/15-IN-1,Protein mono-ADP-ribosyltransferase PARP10,PARP10,single protein,6.8,O=c1[nH][nH]c(=O)c2cc(OCc3ccsc3)ccc12,274.04,4.0,2.0,3.0,1.86,74.95,PARP,O=c1[nH][nH]c(=O)c2cc(OCc3ccsc3)ccc12,[O-]C1=C2C=CC(OCC3=CSC=C3)=CC2=C([O-])N=N1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x746fc75d9150>,tr,10
PD004853,PD004853,Vascular endothelial growth factor receptor 1,FLT1,single protein,6.14,c1ccc2[nH]c(-c3[nH]nc4ccccc34)nc2c1,234.09,2.0,2.0,1.0,3.11,57.36,TYROSINE KINASE,c1ccc2[nH]c(-c3[nH]nc4ccccc34)nc2c1,N1N=C(C2=NC3=CC=CC=C3N2)C2=CC=CC=C12,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x746fc75d9230>,tr,10
PD006048,PD006048,Tyrosine-protein kinase JAK2,JAK2,single protein,5.8,Nc1[nH]nc2ccc(-c3ccccc3)cc12,209.1,2.0,2.0,1.0,2.81,54.7,JAK,Nc1[nH]nc2ccc(-c3ccccc3)cc12,NC1=NNC2=CC=C(C=C12)C1=CC=CC=C1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x746fc75d8d60>,tr,11
PD019544,PD019544,RAC-alpha serine/threonine-protein kinase,AKT1,single protein,4.57,Cc1cc(C)cc(C(=O)NC(=S)Nc2cc([N+](=O)[O-])ccc2O)c1,345.08,5.0,3.0,3.0,3.04,104.5,AKT,Cc1cc(C)cc(C(=O)NC(=S)Nc2cc([N+](=O)[O-])ccc2O)c1,CC1=CC(=CC(C)=C1)C(=O)NC(=S)NC1=CC(=CC=C1[O-])[N+]([O-])=O,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x747067496a40>,tr,10
PD040846,PD040846,Poly [ADP-ribose] polymerase 1,PARP1,single protein,5.07,Nc1ccc2oc(=O)ccc2c1I,286.94,3.0,1.0,0.0,1.98,56.23,PARP,Nc1ccc2oc(=O)ccc2c1I,NC1=CC=C2OC(=O)C=CC2=C1I,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7470674940b0>,tr,14
PD069649,PD069649,Tyrosine-protein kinase JAK2,JAK2,single protein,5.16,O=C(O)c1[nH]c(=O)[nH]c(=O)c1F,174.01,3.0,3.0,1.0,-1.1,103.02,JAK,O=C(O)c1[nH]c(=O)[nH]c(=O)c1F,[O-]C(=O)C1=C(F)C(=O)N=C([O-])[N-]1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x747067494970>,tr,13
PD178165,PD178165,Receptor-type tyrosine-protein kinase FLT3,FLT3,single protein,5.75,O=C1Nc2ccccc2/C1=C\c1ccc(O)cc1,237.08,2.0,2.0,1.0,3.53,52.82,TYROSINE KINASE,O=C1Nc2ccccc2/C1=C\c1ccc(O)cc1,OC1=CC=C(\C=C2\C(=O)NC3=CC=CC=C23)C=C1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x747067494c10>,tr,15
PD196820,PD196820,DNA topoisomerase 2-alpha,TOP2A,single protein,4.57,O=C(O)C[C@H](NC(=O)OCc1ccccc1)C(=O)O,267.07,4.0,3.0,6.0,0.84,112.93,TOPOISOMERASE,O=C(O)C[C@H](NC(=O)OCc1ccccc1)C(=O)O,[O-]C(=O)C[C@H](NC(=O)OCC1=CC=CC=C1)C([O-])=O,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x747067496b20>,tr,9
PD000900,SINENSETIN,Aurora kinase B,AURKB,single protein,5.27,COc1ccc(-c2cc(=O)c3c(OC)c(OC)c(OC)cc3o2)cc1OC,372.12,7.0,0.0,6.0,3.5,76.36,AURORA KINASE,COc1ccc(-c2cc(=O)c3c(OC)c(OC)c(OC)cc3o2)cc1OC,COC1=CC=C(C=C1OC)C1=CC(=O)C2=C(OC)C(OC)=C(OC)C=C2O1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x747067496570>,tr,16
PD158565,SULFURETIN,Aurora kinase A,AURKA,single protein,6.07,O=C1/C(=C/c2ccc(O)c(O)c2)Oc2cc(O)ccc21,270.05,5.0,3.0,1.0,2.42,86.99,AURORA KINASE,O=C1/C(=C/c2ccc(O)c(O)c2)Oc2cc(O)ccc21,OC1=CC=C2C(=O)\C(OC2=C1)=C\C1=CC=C(O)C(O)=C1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x747067495c40>,tr,17
PD154949,VEGFR-3-IN-1,Vascular endothelial growth factor receptor 3,FLT4,single protein,6.96,CN1CCN(c2ccc(-c3cc4c(N5CCN(C(=O)Nc6ccc(Cl)c(C(F)(F)F)c6)CC5)ncnc4s3)cc2)CC1,615.18,7.0,1.0,4.0,6.14,67.84,TYROSINE KINASE,CN1CCN(c2ccc(-c3cc4c(N5CCN(C(=O)Nc6ccc(Cl)c(C(F)(F)F)c6)CC5)ncnc4s3)cc2)CC1,C[NH+]1CCN(CC1)C1=CC=C(C=C1)C1=CC2=C(N=CN=C2S1)N1CCN(CC1)C(=O)NC1=CC=C(Cl)C(=C1)C(F)(F)F,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x747067495ee0>,tr,18
PD004376,(R)-CR8,Cyclin-dependent kinase 1,CDK1,single protein,7.39,CC[C@H](CO)Nc1nc(NCc2ccc(-c3ccccn3)cc2)c2ncn(C(C)C)c2n1,431.24,8.0,3.0,9.0,4.26,100.78,CDK,CC[C@H](CO)Nc1nc(NCc2ccc(-c3ccccn3)cc2)c2ncn(C(C)C)c2n1,CC[C@H](CO)NC1=NC(NCC2=CC=C(C=C2)C2=CC=CC=N2)=C2N=CN(C(C)C)C2=N1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x747067497d80>,tr,17
PD012926,A-966492,Poly [ADP-ribose] polymerase 1,PARP1,single protein,9.0,NC(=O)c1cccc2[nH]c(-c3ccc([C@@H]4CCCN4)cc3F)nc12,324.14,3.0,3.0,3.0,2.89,83.8,PARP,NC(=O)c1cccc2[nH]c(-c3ccc([C@@H]4CCCN4)cc3F)nc12,NC(=O)C1=C2N=C(NC2=CC=C1)C1=CC=C(C=C1F)[C@@H]1CCC[NH2+]1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x747067497c30>,tr,8
PD038907,ABEMACICLIB,Cyclin-dependent kinase 4,CDK4,single protein,8.7,CCN1CCN(Cc2ccc(Nc3ncc(F)c(-c4cc(F)c5nc(C)n(C(C)C)c5c4)n3)nc2)CC1,506.27,8.0,1.0,7.0,4.94,75.0,CDK,CCN1CCN(Cc2ccc(Nc3ncc(F)c(-c4cc(F)c5nc(C)n(C(C)C)c5c4)n3)nc2)CC1,CC[NH+]1CCN(CC2=CC=C(NC3=NC=C(F)C(=N3)C3=CC(F)=C4N=C(C)N(C(C)C)C4=C3)N=C2)CC1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7470674947b0>,tr,16
PD011147,ABEXINOSTAT,Histone deacetylase 1,HDAC1,single protein,8.15,CN(C)Cc1c(C(=O)NCCOc2ccc(C(O)=NO)cc2)oc2ccccc12,397.16,6.0,3.0,8.0,2.42,104.04,HDAC,CN(C)Cc1c(C(=O)NCCOc2ccc(C(O)=NO)cc2)oc2ccccc12,C[NH+](C)CC1=C(OC2=CC=CC=C12)C(=O)NCCOC1=CC=C(C=C1)C(O)N=O,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7470674943c0>,tr,19
PD011108,ABT-751,Tubulin alpha-1A chain,TUBA1A,single protein,5.51,COc1ccc(S(=O)(=O)Nc2cccnc2Nc2ccc(O)cc2)cc1,371.09,6.0,3.0,6.0,3.34,100.55,TUBULIN,COc1ccc(S(=O)(=O)Nc2cccnc2Nc2ccc(O)cc2)cc1,COC1=CC=C(C=C1)S(=O)(=O)[N-]C1=CC=CN=C1NC1=CC=C(O)C=C1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x747067494cf0>,tr,
PD038508,AC710,Receptor-type tyrosine-protein kinase FLT3,FLT3,single protein,9.3,CCN1C(C)(C)CC(Oc2ccc(C(=O)Nc3ccc(NC(=O)Nc4cc(C(C)(C)C)on4)cc3)nc2)CC1(C)C,562.33,7.0,3.0,7.0,6.68,121.62,TYROSINE KINASE,CCN1C(C)(C)CC(Oc2ccc(C(=O)Nc3ccc(NC(=O)Nc4cc(C(C)(C)C)on4)cc3)nc2)CC1(C)C,CC[NH+]1C(C)(C)CC(CC1(C)C)OC1=CC=C(N=C1)C(=O)NC1=CC=C(NC(=O)NC2=NOC(=C2)C(C)(C)C)C=C1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x747067497140>,tr,22
PD117623,ACY-1083,Histone deacetylase 6,HDAC6,single protein,8.52,ON=C(O)c1cnc(NC2(c3ccccc3)CCC(F)(F)CC2)nc1,348.14,5.0,3.0,4.0,3.11,87.14,HDAC,ON=C(O)c1cnc(NC2(c3ccccc3)CCC(F)(F)CC2)nc1,ONC(=O)C1=CN=C(NC2(CCC(F)(F)CC2)C2=CC=CC=C2)N=C1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x747067494430>,tr,19
PD117646,ACY-957,Histone deacetylase 1,HDAC1,single protein,8.28,Nc1ccc(-c2cccs2)cc1NC(=O)c1ccc2nc(N3CCNCC3)ccc2c1,429.16,6.0,3.0,4.0,4.21,83.28,HDAC,Nc1ccc(-c2cccs2)cc1NC(=O)c1ccc2nc(N3CCNCC3)ccc2c1,NC1=CC=C(C=C1NC(=O)C1=CC2=CC=C(N=C2C=C1)N1CC[NH2+]CC1)C1=CC=CS1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7470674968f0>,tr,6
PD011169,AEE-788,Epidermal growth factor receptor,EGFR,single protein,8.7,CCN1CCN(Cc2ccc(-c3cc4c(N[C@H](C)c5ccccc5)ncnc4[nH]3)cc2)CC1,440.27,5.0,2.0,7.0,4.94,60.08,EGFR,CCN1CCN(Cc2ccc(-c3cc4c(N[C@H](C)c5ccccc5)ncnc4[nH]3)cc2)CC1,CC[NH+]1CCN(CC2=CC=C(C=C2)C2=CC3=C(N[C@H](C)C4=CC=CC=C4)[NH+]=CN=C3N2)CC1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7470674967a0>,tr,16
PD143540,AES-350,Histone deacetylase 6,HDAC6,single protein,7.62,CC(C)(C)c1ccc(C(=O)Nc2ccc(C(O)=NO)cc2)cc1,312.15,3.0,3.0,3.0,3.36,78.43,HDAC,CC(C)(C)c1ccc(C(=O)Nc2ccc(C(O)=NO)cc2)cc1,CC(C)(C)C1=CC=C(C=C1)C(=O)NC1=CC=C(C=C1)C(O)N=O,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x747067496030>,tr,21
PD003373,AFATINIB,Epidermal growth factor receptor,EGFR,single protein,9.3,CN(C)C/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1,485.16,7.0,2.0,8.0,4.39,88.61,EGFR,CN(C)C/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1,C[NH+](C)C\C=C\C(=O)NC1=CC2=C(NC3=CC=C(F)C(Cl)=C3)N=CN=C2C=C1O[C@H]1CCOC1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7470674961f0>,tr,
PD012538,AFURESERTIB,RAC-alpha serine/threonine-protein kinase,AKT1,single protein,10.1,Cn1ncc(Cl)c1-c1cc(C(=O)N[C@H](CN)Cc2cccc(F)c2)sc1Cl,426.05,5.0,2.0,6.0,3.89,72.94,AKT,Cn1ncc(Cl)c1-c1cc(C(=O)N[C@H](CN)Cc2cccc(F)c2)sc1Cl,CN1N=CC(Cl)=C1C1=C(Cl)SC(=C1)C(=O)N[C@H](C[NH3+])CC1=CC=CC(F)=C1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x747067495e00>,tr,
PD015010,AG 112,Epidermal growth factor receptor,EGFR,single protein,6.9,N#C/C(=C\c1ccc(O)cc1)C(=N)C(C#N)C#N,236.07,5.0,2.0,2.0,1.56,117.62,EGFR,N#C/C(=C\c1ccc(O)cc1)C(=N)C(C#N)C#N,NC(\C(=C\C1=CC=C([O-])C=C1)C#N)=C(C#N)C#N,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x747067497a70>,tr,
PD010840,AG-14361,Poly [ADP-ribose] polymerase 1,PARP1,single protein,8.24,CN(C)Cc1ccc(-c2nc3cccc4c3n2CCNC4=O)cc1,320.16,4.0,1.0,3.0,2.51,50.16,PARP,CN(C)Cc1ccc(-c2nc3cccc4c3n2CCNC4=O)cc1,C[NH+](C)CC1=CC=C(C=C1)C1=NC2=CC=CC3=C2N1CCNC3=O,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x747067495310>,tr,28
PD002607,AG-1478,Epidermal growth factor receptor,EGFR,single protein,8.22,COc1cc2ncnc(Nc3cccc(Cl)c3)c2cc1OC,315.08,5.0,1.0,4.0,4.04,56.27,EGFR,COc1cc2ncnc(Nc3cccc(Cl)c3)c2cc1OC,COC1=CC2=NC=NC(NC3=CC=CC(Cl)=C3)=C2C=C1OC,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x747067495d20>,tr,
PD156546,AKI603,Aurora kinase A,AURKA,single protein,7.92,Cc1cc(Nc2cc(N3CCN(C)CC3)nc(Nc3ccc([N+](=O)[O-])cc3)n2)[nH]n1,409.2,9.0,3.0,6.0,2.66,128.14,AURORA KINASE,Cc1cc(Nc2cc(N3CCN(C)CC3)nc(Nc3ccc([N+](=O)[O-])cc3)n2)[nH]n1,C[NH+]1CCN(CC1)C1=NC(NC2=CC=C(C=C2)[N+]([O-])=O)=NC(NC2=NNC(C)=C2)=C1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x747067496810>,tr,
PD003337,ALISERTIB,Aurora kinase A,AURKA,single protein,9.0,COc1cc(Nc2ncc3c(n2)-c2ccc(Cl)cc2C(c2c(F)cccc2OC)=NC3)ccc1C(=O)O,518.12,7.0,2.0,6.0,5.75,105.93,AURORA KINASE,COc1cc(Nc2ncc3c(n2)-c2ccc(Cl)cc2C(c2c(F)cccc2OC)=NC3)ccc1C(=O)O,COC1=CC(NC2=NC=C3CN=C(C4=CC(Cl)=CC=C4C3=N2)C2=C(F)C=CC=C2OC)=CC=C1C([O-])=O,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x747067496730>,tr,
PD012516,AMG 925,Receptor-type tyrosine-protein kinase FLT3,FLT3,single protein,9.0,C[C@H]1CC[C@H](n2c3cnccc3c3cnc(Nc4ccc5c(n4)CCN(C(=O)CO)C5)nc32)CC1,471.24,8.0,2.0,4.0,3.75,109.06,TYROSINE KINASE,C[C@H]1CC[C@H](n2c3cnccc3c3cnc(Nc4ccc5c(n4)CCN(C(=O)CO)C5)nc32)CC1,C[C@H]1CC[C@@H](CC1)N1C2=C(C=CN=C2)C2=C1N=C(NC1=CC=C3CN(CCC3=N1)C(=O)CO)N=C2,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x747067496110>,tr,
PD003228,AMG-900,Aurora kinase C,AURKC,single protein,9.0,Cc1csc(-c2nnc(Nc3ccc(Oc4ncccc4-c4ccnc(N)n4)cc3)c3ccccc23)c1,503.15,9.0,2.0,6.0,6.64,111.73,AURORA KINASE,Cc1csc(-c2nnc(Nc3ccc(Oc4ncccc4-c4ccnc(N)n4)cc3)c3ccccc23)c1,CC1=CSC(=C1)C1=C2C=CC=CC2=C(NC2=CC=C(OC3=NC=CC=C3C3=CC=NC(N)=N3)C=C2)N=N1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x747067495fc0>,tr,
PD004706,AT-7519,Cyclin-dependent kinase-like 5,CDKL5,single protein,8.59,O=C(NC1CCNCC1)c1[nH]ncc1NC(=O)c1c(Cl)cccc1Cl,381.08,4.0,4.0,4.0,2.45,98.91,CDK,O=C(NC1CCNCC1)c1[nH]ncc1NC(=O)c1c(Cl)cccc1Cl,ClC1=CC=CC(Cl)=C1C(=O)NC1=CNN=C1C(=O)NC1CC[NH2+]CC1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x747067495cb0>,tr,
PD003534,AT7867,RAC-beta serine/threonine-protein kinase,AKT2,single protein,4.75,Clc1ccc(C2(c3ccc(-c4cn[nH]c4)cc3)CCNCC2)cc1,337.13,2.0,2.0,3.0,4.4,40.71,AKT,Clc1ccc(C2(c3ccc(-c4cn[nH]c4)cc3)CCNCC2)cc1,ClC1=CC=C(C=C1)C1(CC[NH2+]CC1)C1=CC=C(C=C1)C1=CNN=C1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x747067495bd0>,tr,
PD013106,ATORVASTATIN,3-hydroxy-3-methylglutaryl-coenzyme A reductase,HMGCR,single protein,7.98,CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)O,558.25,5.0,4.0,12.0,6.31,111.79,HMGCR,CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)O,CC(C)C1=C(C(=O)NC2=CC=CC=C2)C(=C(N1CC[C@@H](O)C[C@@H](O)CC([O-])=O)C1=CC=C(F)C=C1)C1=CC=CC=C1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7470674955b0>,tr,
PD003467,AXITINIB,Vascular endothelial growth factor receptor 3,FLT4,single protein,10.0,CNC(=O)c1ccccc1Sc1ccc2c(/C=C/c3ccccn3)[nH]nc2c1,386.12,4.0,2.0,5.0,4.64,70.67,TYROSINE KINASE,CNC(=O)c1ccccc1Sc1ccc2c(/C=C/c3ccccn3)[nH]nc2c1,CNC(=O)C1=CC=CC=C1SC1=CC=C2C(NN=C2\C=C\C2=CC=CC=N2)=C1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7470674959a0>,tr,
PD010824,AZ-960,Tyrosine-protein kinase JAK2,JAK2,single protein,9.35,Cc1cc(Nc2nc(N[C@@H](C)c3ccc(F)cc3)c(C#N)cc2F)[nH]n1,354.14,5.0,3.0,5.0,4.18,89.42,JAK,Cc1cc(Nc2nc(N[C@@H](C)c3ccc(F)cc3)c(C#N)cc2F)[nH]n1,C[C@H](NC1=C(C=C(F)C(NC2=NNC(C)=C2)=N1)C#N)C1=CC=C(F)C=C1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x747067495850>,tr,
PD012313,AZ5104,Epidermal growth factor receptor,EGFR,single protein,7.48,C=CC(=O)Nc1cc(Nc2nccc(-c3c[nH]c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,485.25,7.0,3.0,10.0,4.5,98.41,EGFR,C=CC(=O)Nc1cc(Nc2nccc(-c3c[nH]c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,COC1=C(NC2=NC=CC(=N2)C2=CNC3=CC=CC=C23)C=C(NC(=O)C=C)C(=C1)N(C)CC[NH+](C)C,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x747067495700>,tr,
PD131625,AZ9482,Protein mono-ADP-ribosyltransferase PARP3,PARP3,single protein,7.34,N#Cc1cccnc1N1CCN(C(=O)c2cccc(Cc3n[nH]c(=O)c4ccccc34)c2)CC1,450.18,6.0,1.0,4.0,2.74,105.98,PARP,N#Cc1cccnc1N1CCN(C(=O)c2cccc(Cc3n[nH]c(=O)c4ccccc34)c2)CC1,O=C(N1CCN(CC1)C1=NC=CC=C1C#N)C1=CC=CC(CC2=NNC(=O)C3=CC=CC=C23)=C1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7470674954d0>,tr,
