pdid,name,target_name,gene_name,target_type,activity_biochemical,SMILES_std,mw,hba,hbd,rb,logp,tpsa,moa_label,Standardized_SMILES,SMILES_protonated_7.4,morgan_fps,set,cluster
PD005561,DR 2313,Poly [ADP-ribose] polymerase 1,PARP1,single protein,6.76,Cc1nc(=O)c2c([nH]1)CCSC2,182.05,3.0,1.0,0.0,0.87,45.75,PARP,Cc1nc(=O)c2c([nH]1)CCSC2,CC1=NC2=C(CSCC2)C(=O)N1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x747067497df0>,tr,
PD070053,Dolastatin 10,Tubulin alpha-1A chain,TUBA1A,single protein,5.66,CC[C@H](C)[C@@H]([C@@H](CC(=O)N1CCC[C@H]1[C@H](OC)[C@@H](C)C(=O)N[C@@H](Cc1ccccc1)c1nccs1)OC)N(C)C(=O)[C@@H](NC(=O)[C@H](C(C)C)N(C)C)C(C)C,784.49,9.0,2.0,21.0,5.19,133.41,TUBULIN,CC[C@H](C)[C@@H]([C@@H](CC(=O)N1CCC[C@H]1[C@H](OC)[C@@H](C)C(=O)N[C@@H](Cc1ccccc1)c1nccs1)OC)N(C)C(=O)[C@@H](NC(=O)[C@H](C(C)C)N(C)C)C(C)C,CC[C@H](C)[C@@H]([C@@H](CC(=O)N1CCC[C@H]1[C@H](OC)[C@@H](C)C(=O)N[C@@H](CC1=CC=CC=C1)C1=NC=CS1)OC)N(C)C(=O)[C@@H](NC(=O)[C@H](C(C)C)[NH+](C)C)C(C)C,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x747067497ca0>,tr,
PD036151,E7449,Poly [ADP-ribose] polymerase 2,PARP2,single protein,9.0,O=C1NNc2nc(CN3Cc4ccccc4C3)nc3cccc1c23,317.13,5.0,2.0,2.0,2.22,70.15,PARP,O=C1NNc2nc(CN3Cc4ccccc4C3)nc3cccc1c23,O=C1NNC2=C3C(C=CC=C13)=NC(CN1CC3=CC=CC=C3C1)=N2,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x747067495000>,tr,
PD011101,ENMD-981693,Receptor-type tyrosine-protein kinase FLT3,FLT3,single protein,8.52,Cc1cc(Nc2cc(N3CCN(C)CC3)nc(/C=C/c3ccccc3)n2)[nH]n1,375.22,6.0,2.0,5.0,3.17,72.97,TYROSINE KINASE,Cc1cc(Nc2cc(N3CCN(C)CC3)nc(/C=C/c3ccccc3)n2)[nH]n1,C[NH+]1CCN(CC1)C1=NC(\C=C\C2=CC=CC=C2)=NC(NC2=NNC(C)=C2)=C1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x747067494890>,tr,
PD087762,EP-0042,Aurora kinase A,AURKA,single protein,8.12,Cc1nn(C)cc1-c1nc2c(N3CCN(Cc4ccc(Cl)cc4)CC3)c(Cl)cnc2[nH]1,455.14,6.0,1.0,4.0,4.3,65.87,AURORA KINASE,Cc1nn(C)cc1-c1nc2c(N3CCN(Cc4ccc(Cl)cc4)CC3)c(Cl)cnc2[nH]1,CN1C=C(C(C)=N1)C1=NC2=NC=C(Cl)C(N3CC[NH+](CC4=CC=C(Cl)C=C4)CC3)=C2N1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x747067496ce0>,tr,
PD003491,ETP-46464,Serine/threonine-protein kinase mTOR,MTOR,single protein,9.22,CC(C)(C#N)c1ccc(N2C(=O)OCc3cnc4ccc(-c5cnc6ccccc6c5)cc4c32)cc1,470.17,5.0,0.0,3.0,7.04,79.11,MTOR,CC(C)(C#N)c1ccc(N2C(=O)OCc3cnc4ccc(-c5cnc6ccccc6c5)cc4c32)cc1,CC(C)(C#N)C1=CC=C(C=C1)N1C(=O)OCC2=C1C1=CC(=CC=C1N=C2)C1=CC2=CC=CC=C2N=C1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x74706743a810>,tr,
PD004083,EVEROLIMUS,Serine/threonine-protein kinase mTOR,MTOR,single protein,8.7,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](OCCO)[C@H](OC)C2)CC(=O)C(C)=CC(C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C,957.58,14.0,3.0,9.0,6.2,204.66,MTOR,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](OCCO)[C@H](OC)C2)CC(=O)C(C)=CC(C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C,CO[C@@H]1C[C@H](C[C@@H](C)[C@@H]2CC(=O)C(C)=CC(C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)\C=C\C=C\C=C(C)\[C@H](C[C@@H]3CC[C@@H](C)[C@@](O)(O3)C(=O)C(=O)N3CCCC[C@H]3C(=O)O2)OC)CC[C@H]1OCCO,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x74706743a0a0>,tr,
PD010273,FILGOTINIB,Jak1 protein,JAK1,single protein,7.54,O=C(Nc1nc2cccc(-c3ccc(CN4CCS(=O)(=O)CC4)cc3)n2n1)C1CC1,425.15,7.0,1.0,5.0,1.98,96.67,JAK,O=C(Nc1nc2cccc(-c3ccc(CN4CCS(=O)(=O)CC4)cc3)n2n1)C1CC1,O=C(NC1=NN2C(C=CC=C2C2=CC=C(CN3CCS(=O)(=O)CC3)C=C2)=N1)C1CC1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x747067438820>,tr,
PD010586,FIMEPINOSTAT,Histone deacetylase 1,HDAC1,single protein,8.77,COc1ccc(-c2nc(N3CCOCC3)c3sc(CN(C)c4ncc(C(O)=NO)cn4)cc3n2)cn1,508.16,12.0,2.0,7.0,2.14,138.72,HDAC,COc1ccc(-c2nc(N3CCOCC3)c3sc(CN(C)c4ncc(C(O)=NO)cn4)cc3n2)cn1,COC1=CC=C(C=N1)C1=NC(N2CCOCC2)=C2SC(CN(C)C3=NC=C(C=N3)C(=O)NO)=CC2=N1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7470674385f0>,tr,
PD010323,FLI-06,Cyclin-dependent kinase 2,CDK2,single protein,4.15,CC1=C(C(=O)OC2CCCCC2)C(c2ccc([N+](=O)[O-])cc2)C2C(=O)CC(C)(C)CC2=N1,438.22,6.0,1.0,4.0,5.07,98.54,CDK,CC1=C(C(=O)OC2CCCCC2)C(c2ccc([N+](=O)[O-])cc2)C2C(=O)CC(C)(C)CC2=N1,CC1=C(C(C2C(=O)CC(C)(C)CC2=N1)C1=CC=C(C=C1)[N+]([O-])=O)C(=O)OC1CCCCC1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x747067438120>,tr,
PD056877,FM-381,Tyrosine-protein kinase JAK3,JAK3,single protein,9.82,CN(C)C(=O)/C(C#N)=C/c1ccc(-c2nc3cnc4[nH]ccc4c3n2C2CCCCC2)o1,428.2,6.0,1.0,4.0,4.67,103.74,JAK,CN(C)C(=O)/C(C#N)=C/c1ccc(-c2nc3cnc4[nH]ccc4c3n2C2CCCCC2)o1,CN(C)C(=O)C(=C\C1=CC=C(O1)C1=NC2=C(N1C1CCCCC1)C1=C(NC=C1)N=C2)\C#N,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x747067438cf0>,tr,
PD102565,FN-1501,Receptor-type tyrosine-protein kinase FLT3,FLT3,single protein,9.57,CN1CCN(Cc2ccc(NC(=O)c3[nH]ncc3Nc3ncnc4[nH]ccc34)cc2)CC1,431.22,7.0,4.0,6.0,2.42,117.86,TYROSINE KINASE,CN1CCN(Cc2ccc(NC(=O)c3[nH]ncc3Nc3ncnc4[nH]ccc34)cc2)CC1,C[NH+]1CCN(CC2=CC=C(NC(=O)C3=NNC=C3NC3=C4C=CNC4=NC=N3)C=C2)CC1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x74706743af80>,tr,
PD157426,FNDR-20123,Histone deacetylase 3,HDAC3,single protein,8.7,ON=C(O)c1ccc(Cn2cc(-c3ccc(CN4CCCC4)cc3)nn2)cc1,377.19,6.0,2.0,6.0,2.71,83.28,HDAC,ON=C(O)c1ccc(Cn2cc(-c3ccc(CN4CCCC4)cc3)nn2)cc1,OC(N=O)C1=CC=C(CN2C=C(N=N2)C2=CC=C(C[NH+]3CCCC3)C=C2)C=C1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x74706743a260>,tr,
PD156915,FT895,Histone deacetylase 11,HDAC11,single protein,8.17,CC1(C)c2cccc(C(O)=NO)c2CN1c1cnc(C(F)(F)F)cn1,352.11,5.0,2.0,2.0,2.87,78.35,HDAC,CC1(C)c2cccc(C(O)=NO)c2CN1c1cnc(C(F)(F)F)cn1,CC1(C)N(CC2=C(C=CC=C12)C(O)N=O)C1=CN=C(C=N1)C(F)(F)F,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x74706743aab0>,tr,
PD052672,Fruquintinib,Vascular endothelial growth factor receptor 3,FLT4,single protein,9.3,CNC(=O)c1c(C)oc2cc(Oc3ncnc4cc(OC)c(OC)cc34)ccc12,393.13,7.0,1.0,5.0,3.85,95.71,TYROSINE KINASE,CNC(=O)c1c(C)oc2cc(Oc3ncnc4cc(OC)c(OC)cc34)ccc12,CNC(=O)C1=C(C)OC2=CC(OC3=NC=NC4=CC(OC)=C(OC)C=C34)=CC=C12,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x74706743ac70>,tr,
PD010839,GANDOTINIB,Tyrosine-protein kinase JAK2,JAK2,single protein,8.4,Cc1cc(Nc2cc(CN3CCOCC3)c3nc(C)c(Cc4ccc(Cl)cc4F)n3n2)[nH]n1,469.18,7.0,2.0,6.0,4.03,83.37,JAK,Cc1cc(Nc2cc(CN3CCOCC3)c3nc(C)c(Cc4ccc(Cl)cc4F)n3n2)[nH]n1,CC1=CC(NC2=NN3C(CC4=CC=C(Cl)C=C4F)=C(C)N=C3C(CN3CCOCC3)=C2)=NN1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x74706743a340>,tr,
PD010469,GDC-0349,Serine/threonine-protein kinase mTOR,MTOR,single protein,8.42,CCNC(=O)Nc1ccc(-c2nc3c(c(N4CCOC[C@@H]4C)n2)CCN(C2COC2)C3)cc1,452.25,7.0,2.0,5.0,2.27,91.85,MTOR,CCNC(=O)Nc1ccc(-c2nc3c(c(N4CCOC[C@@H]4C)n2)CCN(C2COC2)C3)cc1,CCNC(=O)NC1=CC=C(C=C1)C1=NC2=C(CCN(C2)C2COC2)C(=N1)N1CCOC[C@@H]1C,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x74706743aff0>,tr,
PD010544,GOLVATINIB,Receptor-type tyrosine-protein kinase FLT3,FLT3,single protein,8.4,CN1CCN(C2CCN(C(=O)Nc3cc(Oc4ccc(NC(=O)C5(C(=O)Nc6ccc(F)cc6)CC5)c(F)c4)ccn3)CC2)CC1,633.29,7.0,3.0,8.0,4.75,119.14,TYROSINE KINASE,CN1CCN(C2CCN(C(=O)Nc3cc(Oc4ccc(NC(=O)C5(C(=O)Nc6ccc(F)cc6)CC5)c(F)c4)ccn3)CC2)CC1,CN1CC[NH+](CC1)C1CCN(CC1)C(=O)NC1=CC(OC2=CC=C(NC(=O)C3(CC3)C(=O)NC3=CC=C(F)C=C3)C(F)=C2)=CC=N1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x747067439f50>,tr,
PD012206,GSK1070916,Aurora kinase B,AURKB,single protein,9.42,CCn1cc(-c2ccnc3[nH]c(-c4cccc(CN(C)C)c4)cc23)c(-c2ccc(NC(=O)N(C)C)cc2)n1,507.27,5.0,2.0,7.0,5.94,82.08,AURORA KINASE,CCn1cc(-c2ccnc3[nH]c(-c4cccc(CN(C)C)c4)cc23)c(-c2ccc(NC(=O)N(C)C)cc2)n1,CCN1C=C(C(=N1)C1=CC=C(NC(=O)N(C)C)C=C1)C1=C2C=C(NC2=NC=C1)C1=CC=CC(C[NH+](C)C)=C1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x747067439bd0>,tr,
PD070626,GW 583340 dihydrochloride,Epidermal growth factor receptor,EGFR,single protein,8.0,CS(=O)(=O)CCNCc1nc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)cs1,597.11,9.0,2.0,11.0,6.0,106.1,EGFR,CS(=O)(=O)CCNCc1nc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)cs1,CS(=O)(=O)CCNCC1=NC(=CS1)C1=CC2=C(NC3=CC=C(OCC4=CC=CC(F)=C4)C(Cl)=C3)N=CN=C2C=C1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x747067439a10>,tr,
PD003748,GW779439X,Cyclin-dependent kinase 2,CDK2,single protein,8.4,CN1CCN(c2ccc(Nc3nccc(-c4cnn5ncccc45)n3)cc2C(F)(F)F)CC1,454.18,8.0,1.0,4.0,3.7,74.48,CDK,CN1CCN(c2ccc(Nc3nccc(-c4cnn5ncccc45)n3)cc2C(F)(F)F)CC1,C[NH+]1CCN(CC1)C1=CC=C(NC2=NC=CC(=N2)C2=C3C=CC=NN3N=C2)C=C1C(F)(F)F,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x74706743af10>,tr,
PD121872,GeA-69,Protein mono-ADP-ribosyltransferase PARP14,PARP14,single protein,6.14,CC(=O)Nc1ccccc1-c1cccc2c1[nH]c1ccccc12,300.13,1.0,2.0,2.0,4.95,44.89,PARP,CC(=O)Nc1ccccc1-c1cccc2c1[nH]c1ccccc12,CC(=O)NC1=CC=CC=C1C1=CC=CC2=C1NC1=C2C=CC=C1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x74706743ad50>,tr,
PD088288,HDAC8-IN-1,Histone deacetylase 8,HDAC8,single protein,7.57,COc1ccc(/C=C/C(O)=NO)c(-c2ccc(-c3ccccc3)cc2)c1,345.14,3.0,2.0,5.0,4.55,58.56,HDAC,COc1ccc(/C=C/C(O)=NO)c(-c2ccc(-c3ccccc3)cc2)c1,COC1=CC=C(CCC(=O)N=O)C(=C1)C1=CC=C(C=C1)C1=CC=CC=C1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x747067439850>,tr,
PD121840,HDACs/mTOR Inhibitor 1,Histone deacetylase 1,HDAC1,single protein,9.72,C[C@@H]1CN(C(=O)Nc2ccc(-c3nc(N4CCOCC4)c4cnn(CCCCCCC(O)=NO)c4n3)cc2)CCO1,566.3,10.0,3.0,10.0,3.04,146.97,HDAC,C[C@@H]1CN(C(=O)Nc2ccc(-c3nc(N4CCOCC4)c4cnn(CCCCCCC(O)=NO)c4n3)cc2)CCO1,C[C@@H]1CN(CCO1)C(=O)NC1=CC=C(C=C1)C1=NC(N2CCOCC2)=C2C=NN(CCCCCCC(=O)NO)C2=N1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7470674397e0>,tr,
PD010990,HESPERADIN,Aurora kinase B-A,AURKB-A,single protein,8.52,CCS(=O)(=O)Nc1ccc2[nH]c(O)c(C(=Nc3ccc(CN4CCCCC4)cc3)c3ccccc3)c2c1,516.22,5.0,3.0,8.0,5.37,90.54,AURORA KINASE,CCS(=O)(=O)Nc1ccc2[nH]c(O)c(C(=Nc3ccc(CN4CCCCC4)cc3)c3ccccc3)c2c1,CCS(=O)(=O)NC1=CC=C2NC(O)=C(C(=NC3=CC=C(C[NH+]4CCCCC4)C=C3)C3=CC=CC=C3)C2=C1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x747067439770>,tr,
PD000593,HINOKITIOL,Histone deacetylase 4,HDAC4,single protein,8.48,CC(C)c1cccc(=O)c(O)c1,164.08,2.0,1.0,1.0,1.88,37.3,HDAC,CC(C)c1cccc(=O)c(O)c1,CC(C)C1=CC=CC(=O)C([O-])=C1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x747067439700>,tr,
PD059019,ILORASERTIB,Vascular endothelial growth factor receptor 1,FLT1,single protein,9.0,Nc1ncc(-c2cnn(CCO)c2)c2scc(-c3ccc(NC(=O)Nc4cccc(F)c4)cc3)c12,488.14,7.0,4.0,6.0,5.18,118.09,TYROSINE KINASE,Nc1ncc(-c2cnn(CCO)c2)c2scc(-c3ccc(NC(=O)Nc4cccc(F)c4)cc3)c12,NC1=C2C(SC=C2C2=CC=C(NC(=O)NC3=CC=CC(F)=C3)C=C2)=C(C=N1)C1=CN(CCO)N=C1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7470674391c0>,tr,
PD077585,IN01001,Poly [ADP-ribose] polymerase 1,PARP1,single protein,8.5,O=c1[nH]c2c(c3ccccc13)Cc1cc(S(=O)(=O)NCCCN3CCOCC3)ccc1-2,439.16,5.0,2.0,6.0,2.1,91.5,PARP,O=c1[nH]c2c(c3ccccc13)Cc1cc(S(=O)(=O)NCCCN3CCOCC3)ccc1-2,O=C1NC2=C(CC3=CC(=CC=C23)S(=O)(=O)NCCCN2CCOCC2)C2=CC=CC=C12,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x747067439000>,tr,
PD017093,IPATASERTIB,RAC-alpha serine/threonine-protein kinase,AKT1,single protein,9.0,CC(C)NC[C@@H](C(=O)N1CCN(c2ncnc3c2[C@H](C)C[C@H]3O)CC1)c1ccc(Cl)cc1,457.22,6.0,2.0,6.0,3.1,81.59,AKT,CC(C)NC[C@@H](C(=O)N1CCN(c2ncnc3c2[C@H](C)C[C@H]3O)CC1)c1ccc(Cl)cc1,CC(C)[NH2+]C[C@@H](C(=O)N1CCN(CC1)C1=NC=NC2=C1[C@H](C)C[C@H]2O)C1=CC=C(Cl)C=C1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x747067438f90>,tr,
PD155002,JAK2-IN-7,Tyrosine-protein kinase JAK2,JAK2,single protein,8.52,Cc1cnc(Nc2ccc3c(c2)CCN(C(=O)/C=C/CN(C)C)C3)nc1-c1cnn(C(C)C)c1,459.27,7.0,1.0,7.0,3.98,79.18,JAK,Cc1cnc(Nc2ccc3c(c2)CCN(C(=O)/C=C/CN(C)C)C3)nc1-c1cnn(C(C)C)c1,CC(C)N1C=C(C=N1)C1=NC(NC2=CC=C3CN(CCC3=C2)C(=O)\C=C\C[NH+](C)C)=NC=C1C,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x747067438c80>,tr,
PD123940,JAK3-IN-6,Tyrosine-protein kinase JAK3,JAK3,single protein,9.82,C=C(C)C(=O)Nc1cccc(-c2ncnc3[nH]cc(C(=O)OCC)c23)c1,350.14,5.0,2.0,5.0,3.32,96.97,JAK,C=C(C)C(=O)Nc1cccc(-c2ncnc3[nH]cc(C(=O)OCC)c23)c1,CCOC(=O)C1=CNC2=NC=NC(=C12)C1=CC(NC(=O)C(C)=C)=CC=C1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x747067438ba0>,tr,
PD011042,JNJ-7706621,Cyclin-dependent kinase 2,CDK2,single protein,8.7,Nc1nc(Nc2ccc(S(N)(=O)=O)cc2)nn1C(=O)c1c(F)cccc1F,394.07,8.0,3.0,4.0,1.22,145.99,CDK,Nc1nc(Nc2ccc(S(N)(=O)=O)cc2)nn1C(=O)c1c(F)cccc1F,NC1=NC(NC2=CC=C(C=C2)S(N)(=O)=O)=NN1C(=O)C1=C(F)C=CC=C1F,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x747067438a50>,tr,
PD157797,KA2507,Histone deacetylase 6,HDAC6,single protein,8.6,ON=C(O)c1ccc(CN(c2cnccn2)c2cnccn2)cc1,322.12,7.0,2.0,5.0,1.72,104.13,HDAC,ON=C(O)c1ccc(CN(c2cnccn2)c2cnccn2)cc1,OC(N=O)C1=CC=C(CN(C2=CN=CC=N2)C2=CN=CC=N2)C=C1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7470674383c0>,tr,
PD038476,KG 5,Receptor-type tyrosine-protein kinase FLT3,FLT3,single protein,7.28,CSc1nc(N)cc(Oc2ccc(-c3n[nH]c(Nc4cccc(C(F)(F)F)c4)n3)cc2)n1,459.11,8.0,3.0,6.0,5.12,114.63,TYROSINE KINASE,CSc1nc(N)cc(Oc2ccc(-c3n[nH]c(Nc4cccc(C(F)(F)F)c4)n3)cc2)n1,CSC1=NC(N)=CC(OC2=CC=C(C=C2)C2=NC(NC3=CC=CC(=C3)C(F)(F)F)=NN2)=N1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7470674380b0>,tr,
PD010305,LDC000067,Cyclin-dependent kinase 9,CDK9,single protein,7.36,COc1ccccc1-c1cc(Nc2cccc(CS(N)(=O)=O)c2)ncn1,370.11,6.0,2.0,6.0,2.68,107.2,CDK,COc1ccccc1-c1cc(Nc2cccc(CS(N)(=O)=O)c2)ncn1,COC1=CC=CC=C1C1=CC(NC2=CC=CC(CS(N)(=O)=O)=C2)=NC=N1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x74706743a500>,tr,
PD012268,LMK-235,Histone deacetylase 5,HDAC5,single protein,8.38,Cc1cc(C)cc(C(=O)NOCCCCCC(O)=NO)c1,294.16,4.0,3.0,8.0,2.03,87.66,HDAC,Cc1cc(C)cc(C(=O)NOCCCCCC(O)=NO)c1,CC1=CC(=CC(C)=C1)C(=O)NOCCCCCC(=O)NO,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x74706743a3b0>,tr,
PD102240,LY3295668,Aurora kinase A,AURKA,single protein,9.0,Cc1cc(Nc2ccc(F)c(C[C@@]3(C(=O)O)CCN(Cc4cccc(Cl)c4F)[C@H](C)C3)n2)[nH]n1,489.17,5.0,3.0,7.0,5.09,94.14,AURORA KINASE,Cc1cc(Nc2ccc(F)c(C[C@@]3(C(=O)O)CCN(Cc4cccc(Cl)c4F)[C@H](C)C3)n2)[nH]n1,C[C@@H]1C[C@@](CC2=NC(NC3=NNC(C)=C3)=CC=C2F)(CC[NH+]1CC1=CC=CC(Cl)=C1F)C([O-])=O,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x747067439620>,tr,
PD087750,Lazertinib,Tyrosine-protein kinase JAK3,JAK3,single protein,7.7,C=CC(=O)Nc1cc(Nc2nccc(-n3cc(CN(C)C)c(-c4ccccc4)n3)n2)c(OC)cc1N1CCOCC1,554.28,10.0,2.0,10.0,4.1,109.67,JAK,C=CC(=O)Nc1cc(Nc2nccc(-n3cc(CN(C)C)c(-c4ccccc4)n3)n2)c(OC)cc1N1CCOCC1,COC1=C(NC2=NC=CC(=N2)N2C=C(C[NH+](C)C)C(=N2)C2=CC=CC=C2)C=C(NC(=O)C=C)C(=C1)N1CCOCC1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x747067438d60>,tr,
PD017229,ME0328,Protein mono-ADP-ribosyltransferase PARP3,PARP3,single protein,6.05,C[C@H](NC(=O)CCc1nc(=O)c2ccccc2[nH]1)c1ccccc1,321.15,3.0,2.0,5.0,2.73,74.85,PARP,C[C@H](NC(=O)CCc1nc(=O)c2ccccc2[nH]1)c1ccccc1,C[C@H](NC(=O)CCC1=NC2=CC=CC=C2C(=O)N1)C1=CC=CC=C1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x747067438200>,tr,
PD000154,MEGLUTOL,3-hydroxy-3-methylglutaryl-coenzyme A reductase,HMGCR,single protein,6.52,CC(O)(CC(=O)O)CC(=O)O,162.05,3.0,3.0,4.0,-0.31,94.83,HMGCR,CC(O)(CC(=O)O)CC(=O)O,CC(O)(CC([O-])=O)CC([O-])=O,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7470674386d0>,tr,
PD053917,MELK-TI,Receptor-type tyrosine-protein kinase FLT3,FLT3,single protein,7.74,COc1cc(-c2cn[nH]c2)ccc1C(=O)Nc1ccc2c(c1)CCNCC2,362.17,4.0,3.0,4.0,3.03,79.04,TYROSINE KINASE,COc1cc(-c2cn[nH]c2)ccc1C(=O)Nc1ccc2c(c1)CCNCC2,COC1=CC(=CC=C1C(=O)NC1=CC=C2CC[NH2+]CCC2=C1)C1=CNN=C1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x747067438350>,tr,
PD003288,MK-2206,RAC-alpha serine/threonine-protein kinase,AKT1,single protein,8.3,NC1(c2ccc(-c3nc4ccn5c(=O)[nH]nc5c4cc3-c3ccccc3)cc2)CCC1,407.17,5.0,2.0,3.0,4.24,89.07,AKT,NC1(c2ccc(-c3nc4ccn5c(=O)[nH]nc5c4cc3-c3ccccc3)cc2)CCC1,[NH3+]C1(CCC1)C1=CC=C(C=C1)C1=NC2=C(C=C1C1=CC=CC=C1)C1=NNC(=O)N1C=C2,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7470674399a0>,tr,
PD186934,N-(4-Phenylthiazol-2-yl)isonicotinamide,Poly [ADP-ribose] polymerase 1,PARP1,single protein,6.12,O=C(Nc1nc(-c2ccccc2)cs1)c1ccncc1,281.06,4.0,1.0,3.0,3.46,54.88,PARP,O=C(Nc1nc(-c2ccccc2)cs1)c1ccncc1,O=C(NC1=NC(=CS1)C1=CC=CC=C1)C1=CC=NC=C1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x74706743a2d0>,tr,
PD127466,N-hydroxy-1-naphthamide,Histone deacetylase 8,HDAC8,single protein,4.85,ON=C(O)c1cccc2ccccc12,187.06,2.0,2.0,1.0,1.96,49.33,HDAC,ON=C(O)c1cccc2ccccc12,ONC(=O)C1=CC=CC2=CC=CC=C12,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x747067439d90>,tr,
PD053585,NMS-P118,Poly [ADP-ribose] polymerase 1,PARP1,single protein,8.05,NC(=O)c1cc(F)cc2c1C(=O)N(C1CCN(C3CCC(F)(F)CC3)CC1)C2,395.18,3.0,1.0,3.0,2.92,66.64,PARP,NC(=O)c1cc(F)cc2c1C(=O)N(C1CCN(C3CCC(F)(F)CC3)CC1)C2,NC(=O)C1=CC(F)=CC2=C1C(=O)N(C2)C1CC[NH+](CC1)C1CCC(F)(F)CC1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x747067439380>,tr,
